review,rating,category
bgs sesuai dgn pic nya,5,tablet
"Yang bener low jualan tuh...dsini item tambahan ada 6 tapi cuma ada 4....gda softcase dn memori cart nya
Gimana tanggung jawab penjual low ky gni",1,handphone
katanya free ongkir koq bayar,3,handphone
tidak sesuai dengan yang di tulis di iklannya,2,handphone
"kartu memori saya tidak terbaca, padahal di hp lainnya bisa terbaca",3,handphone
"Pake Wi-Fi & 4G bisa konek, tapi untuk Play Store gagal terus. Secara otomatis, tablet ini tdk bisa digunakan sesuai dgn yg diharapkan. Sy sdh mengajukan pengembalian barang.",1,tablet
"barang sudah diterima, bagus bisa langsung dipakai, thx seller 👍👍👍",4,laptop
bagus banget aq suka,4,tablet
"lmyan bagus, cmn bahan tas ga sesuai Kya yg difoto iklan",3,laptop
apakah hp a21s memang tidak dapat headsetnya?,3,handphone
pas hari ini...belum 2 bulan sudah matot...ada apa gerangan ?,2,handphone
"mantab bosku
recom seler
packing rapi
product original",5,handphone
"Sesuai sama namanya Realme C""3"", harus nunggu 3 hari akhirnya datang juga Alhamdulillah..

Good phone for budget buyer, performance TOP !

*cuman sayang aja belum ada yg versi 4/64",5,handphone
"Alhamdulillah yg di tunggu2 sudah datang, belum di pakai langsung di chas dulu.
Semoga awet",4,handphone
"memuaskan ,barang dateng cepat,msh segelan,dn packing cukup rapi,next order lgi,klo ada promo",4,handphone
"saya pesan warna maroon tpi dtang warna hitam,gpp kok sya tetap suka",3,laptop
maav agak telat.. barang bagus.. cepet sampe.. seller pun reapon nya mantap.. minusnya pas dipasang banyak gelembung yg gak bisa ilang..... tp lumayan lah sama harga nya...,3,tablet
barangnya bagus ibu aku suka btw maaf telat yang penting ibu aku suka best deh lazada,4,handphone
"barang ok bangt dpt garansi 
dapat tamabahan bonus 
paking rapi banget

pokoee puaas banget..

tank U lazada",4,handphone
akhirnya nyampe.. bonus byk... terimakasih,5,tablet
"Alhamdulillah barang mendarat dengan selamat , sayang sekali nada deringnya/ suaranya di maksimalkan tetep kecil sekali jadi main getar",3,tablet
"kecewaa... order Ransel wrna Loreng tp yg dikirim wrna hitam.. truz cacat Ransel'y,kantong kiri dan kanan'y ga bsa di tutup... krna sleting'y krjahit... 



sayang sekali toko'y ga Quality control dgn Baik.. pdhl saya udh beli tas jg k toko ini sblm'y.. 


sya mnta Ransel'y tlg di Tuker sama yg Loreng dan ga cacat.. sya sangat tunggu niat Baik'y dri Anda.. biar sya ttp bsa brlangganan di toko Anda.. trma ksh..",2,laptop
"Sama dengan yg lain... Ada lecet sedikit,tapi berfungsi dengan Baik....",4,tablet
"Barang sudah sampai, jumlah sesuai item, tapi power banknya bukan 10.000mAh, sedikit kecewa. Handset belum dicoba. Setelah di coba nannti, baru dikasih lagi ulasan.",3,handphone
"bahan lumayan bagus
berkualitas dan model nya bagus",4,laptop
"maaf baru kasi ulasan..
barang tidak bagus batrai nya gak cocok tutup nya juga gak cocok.. sangat kecewa.",2,handphone
bahan karet manttap,5,tablet
"barang nya ga bagus, gambar nya ga 3D trus karakternya ga terlau nempel, jadi gampang lepas!",2,tablet
Tapi kurang puas bahan nya,2,laptop
"tasnya bagus,tp berasa kecil bner ya😁😁😁",3,tablet
"Pengiriman barang tidak sesuai,saya sangat kecewa.",2,tablet
lama dalam pengiriman,4,handphone
"barang tidak lengkap, tidak ada handsfree, trmpre glass, sejadah, dan pelindung kabel ny.. 
saya sangat kecewa...",2,handphone
Baru d pake 1hari batrai nya udh kembung 😤😤😤,2,tablet
Dengan dimensi sebesar itu ternyata tidak bisa muat begitu banyak karena mungkin memang didesain utk laptop dan tambahan sedikit barang lain,3,laptop
"gmn sih,, minta maroon di kirim merah cabe, padahal di chat udh ok😟",2,tablet
"hp nya ori, bagus, tp sayang packing hp ko jelek bgt ya:( gada bubblewrap bener2 dus hp masuk kardus doang, mohon diperhatikan kedepannya.",4,handphone
produk ya tak diragukan lagi bagus dan tdk mengecewakan pokok ya suka dah,5,tablet
"barang bagus, pengiriman cepat, makasih Lazada🙂🙏🙏",4,laptop
barangnya bgs packingnya rapi diharapkan bisa dipercepat lagi waktu pengirimannya,5,tablet
Baguss😇,1,laptop
terima kasih barang mendarat dengan aman dan sentosa.. kualitas Bagus.. saya selalu puas beli produknya navy club,5,tablet
Sesuai gambar...,5,laptop
baru kali ini kecewa dengan flash sale. Harga pasaran langsung anjlok di H1.,2,handphone
"terimakasih seller, lazada & b kurir🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦🚴📦",3,laptop
"pengiriman lumayan lama,,,tapi paket sampai dengan selamat...bonus juga lengkap ..terima kasihhh Lazada",5,handphone
ok kak mantull,5,tablet
sangat slow respon....  sinyal gk ada.,3,handphone
tasny tidak sesuai yg di harapkan . sangat kecewa mohon penjelasan untuk pengembalian,1,laptop
bgs. cuman bahanna keras pisan. atas sama bwh th jdi ga k tutup. pas d pke th jdi ga msk bgt. ngangkong jdina th. teu klop msukna.,4,tablet
"Barang sesuai pesanan, tidak ada cacat, pengiriman cepat.. bukan barang abal-abal",5,laptop
Usb nnya tidak berfungsi,2,laptop
"lcd nya cacad,gimana nih?",1,handphone
"alhamdulillah sudah sampai, pengiriman 1 minggu an karena memang ori dari china lgsg",5,tablet
"Barang berkualitas baik puas, sesuai dengan harga
recomended pokoknya",4,tablet
bagus,4,handphone
"barang yang di pesan sesuai yg diorder, bagus suara nyaenak dan nyaman dipakai nya mantaaaaapppp dech",4,laptop
bagus ibuku suka,4,tablet
Jangan beli di sini penipuan toko ini,1,laptop
"Warna ga sesuai,lcd buram dan di sisi atas dan bawah kaya lcd dah rusak tak menampilkan gambar full .",1,handphone
"Power bank rusak, percuma free,  free judul nya aja, padahal bayar juga sklian sma bayar hp, tidak puas",1,handphone
Pesanan dtg tp hnya ada suara saat on off sleep..layar gelap..sangat mengecewakan..sy hrp lazada sbg perusahaan bsr bs handle permasalahan pengembalian ni..tlg Lazada lbh selectif dgn penjual yg gabung d'Lazada..chat jg telat respon dr seller-ny..jgn smpe pembeli sdh ngeluarin uang jd korban brg tdk b'kualitas krn tdk liat barang scra lgsg..beri keyakinan dlm membeli brg..trm ksh..,1,handphone
"malam gan.. hp nya sering mati sendiri ya . LCD nya jg sdh eror.. saya tekan tombol M malah nongol U.. jd ga karuan.. 
saya mau uang saya Balik gan.. hpnya gak terpakai jdnya... lumayan dgn harga hampir 500rb tp hp ga bs d pakai..",1,handphone
"Alhamdulillah paket nya udah nyampeee,kurirnya ramah bgtt",5,tablet
lumayan,4,tablet
jgn beli hp ini jelek ga bagus hp sampah iini mah!!!!😑😡👊,1,handphone
Barang apaan lah kyak giniii gak berbobot,3,laptop
Sangat memuaskan kak barangnya,4,laptop
Lama pngiriman,1,handphone
"kecewa pengirimannya lama banget hampir 1 minggu lebih,tp barang bagus",1,handphone
Barang lumayan bagus . . dgn harga yang wajar,4,laptop
"dh lma di dtng nya,mw dibatalin dh g bsa,bner ajj barangnya apa adanya sesuai harga x ya,tp g murah2 amat ko tp barangnya sobek dmn2,g bsa buat bawa brng yg berat,ringkih,bhan keras gt,kecewa yg pasti mh",2,laptop
"Sesuai Pesenan.
tpi sedikit kecewa karena RAM ny kecil. dan layar hanya 9.0 in.
GK sesuai sma deskripsi ny...",3,tablet
"pengiriman lama ,,,",3,handphone
"Paketnya sudah datang, btw sy pesan warna merah tp dikirimnya wrna hitam, ydh gpp sy maklumin, terimakasih",3,tablet
"bagus, pengirimannya juga cpt",4,laptop
puas lah intinya..cuman agak lama pengiriman nya😁,5,tablet
"hp baru dan yah 4GB di pakai sistem 2GB. mana terinstall aplikasi tidak berguna tidak bisa di hapus kecuali di root.
 pengiriman dan pengemasan top. tks.",2,handphone
ehmmmmmm,2,tablet
"Tutup kameranya gak pas, jadi menutupi sebagian kamera",2,tablet
"kurir ok, pada dasarnya bagus namun tidak sesuai dengan ekspektasi saya, karena talinya tipe yang cepat rusak... secara keseluruhan ok lah, namun tidak wah dan tidak istimewa...",4,laptop
"sesuai, syukaaa.....",5,handphone
"Sesuai estimasi, tp kurang suka dgn kurirnya",3,handphone
barang yg di kirim ok cuma 1 yg tempered glass nya pecah packing nya kurang sefty,3,handphone
"SANGAT KECEWA,,beli mahal mahal tapi dikasih barang rijek,pada tergores mika nya,jualan yg becus gan jgn cuma mau ambil keuntungan tapi merugikan org,ga berkah tar
klo yoko profesional bales chat saya
udah gitu bilang saya merobek kaca film,yg bener aja deh mana mgkn sy merobek krn sy mengharap kan barang ini dtg dlm keadaan bagus
please LAZADA mohon jadi perhatian,sy kecewa beli mahal tapi barang rijek",1,tablet
"Terimakasih, barang sudah mendarat.",5,handphone
yang satunya rusak gak ada suara saya minta diganti harusnya sebelum dikirim di cek dulu dong saya sebagai customer kecewa,1,laptop
Produk bermasalah.. Speaker atas pelan sekali meskipun volume sudah maksimal,3,handphone
"Power bank nya gk ada, terus gimana mau dipakai ngecas klo gk disediakan power bank, power bank yg dipakai di tas itu, power bank apa ya???",2,laptop
mantap brang bagus sesuai pesanan,5,tablet
packing rapi cepat sampai 👍👍👍,5,handphone
"barang udah nyampe, bagus.. tp sy pesen warna hitam yg dtang warna biru",3,laptop
pesan merah marun yg datang pink bukan merah cabe bukan.. bad 👎👎,1,tablet
warnanya butek gk sesuai ama gambar,2,tablet
"hp nya bagus, tapi pesannya mito 120i yg dateng mito 120,,tapi baguslah..",5,handphone
Barang gak masuk kurang besar sedikit.kecewa,1,tablet
knp sampai sekarang pesanan saya blm sampai juga. ini sudah lewat tanggal estimasi pengiriman,1,tablet
"barang bagus,... pengiriman sangat lama 14hari baru nyampe...",4,handphone
spek di display toko teryata beda dgn unit asli yg sy terima tolong speknya di perbaiki jgn salah tulis bkin kecewa berat ini,2,handphone
barang sampai dengan selamat... meskipun pengiriman agak lama,4,handphone
kiriman cepat sampai dan packing aman,5,handphone
Nice.. thank you,5,handphone
"saran aja gak usah pakai kata superbass biar jujur, karena barangnya gda bassnya smaskali, cempreng bgt",1,handphone
"sudah lama menunggu
pesanan Hp 4G
Ram 4 Gb
Rom 64 Gb
yg Datang Hpnya 3G
saya Sangat Kecewa
klo cuma Hp 3G
Disini juga Banyak
ga perlu Sampe 650 ribu lebih
300ribuan juga banyak
gimana sic klo Jualan Jangan Nipu Dong",2,handphone
Ulasan dapat VR bener gak  tuh.... Klo dilihat harganya sih dapat.. Wuih.... Keren..,4,handphone
barang bagus paket cepat packing rapi  terimakih,5,tablet
Lemari ya bagus...... Tp pas pemasangan aku bingung.. akhirnya selesai juga... Anakku suka banget,5,handphone
"packing rapi,,harga sesuai dgn kualitas",4,laptop
"Sorry, tp buat evaluasi. Tonton sampai habis biar tau rusaknya dimana. padahal baru sampe barangnya.",2,handphone
sedikit kecewa psen warna maroon datang warna merah ke pink an,2,tablet
"jelek suaranya, msh mono, gak ngebas",1,laptop
kualitas audio kurang sempurna,3,handphone
suara speakerny jelek. pecah. gak jelas suara yg berbicara,2,handphone
"warna nya jelek..pudar. 
saya pikir hard ternyata softcase..
beda dengan yang di gambar",1,tablet
alhamdulillah barang nya bagus anak saya suka n' kurirnya ramah makasih & sukses selalu🙏,4,tablet
"Miriiissss sekaliiiiii....    Masa iya dus nya pake dus polos gitu sih yng 1 nya.?? 
Itu semua pesenan cust.  Pesen doraemon  dikasih hellokitty,  mana gk ada konfirmasi dulu 😡😡😡😡",1,handphone
mantulll......👍👍👍👍👍,5,tablet
bagus tas ny tp kk klu  mau ngirim paket di teliti dulu di baca dlu jgn smpe salah jgn bikin kecewa sm pelanggan ya ka tlong,3,laptop
"cepet sampe nya , cuma suaranya jadi kebalik, 
suara di kanan malah ke kiri, kok aneh ya",2,laptop
